path,language
/content/work/processed_wav/Bengali/11161.wav,Bengali
/content/work/processed_wav/Bengali/11813.wav,Bengali
/content/work/processed_wav/Bengali/11590.wav,Bengali
/content/work/processed_wav/Bengali/11769.wav,Bengali
/content/work/processed_wav/Bengali/10371.wav,Bengali
/content/work/processed_wav/Bengali/11406.wav,Bengali
/content/work/processed_wav/Bengali/10850.wav,Bengali
/content/work/processed_wav/Bengali/10618.wav,Bengali
/content/work/processed_wav/Bengali/1074.wav,Bengali
/content/work/processed_wav/Bengali/10765.wav,Bengali
/content/work/processed_wav/Bengali/11670.wav,Bengali
/content/work/processed_wav/Bengali/11246.wav,Bengali
/content/work/processed_wav/Bengali/1204.wav,Bengali
/content/work/processed_wav/Bengali/11960.wav,Bengali
/content/work/processed_wav/Bengali/11958.wav,Bengali
/content/work/processed_wav/Bengali/11602.wav,Bengali
/content/work/processed_wav/Bengali/11671.wav,Bengali
/content/work/processed_wav/Bengali/1027.wav,Bengali
/content/work/processed_wav/Bengali/10296.wav,Bengali
/content/work/processed_wav/Bengali/11683.wav,Bengali
/content/work/processed_wav/Bengali/11306.wav,Bengali
/content/work/processed_wav/Bengali/11969.wav,Bengali
/content/work/processed_wav/Bengali/11044.wav,Bengali
/content/work/processed_wav/Bengali/10503.wav,Bengali
/content/work/processed_wav/Bengali/11507.wav,Bengali
/content/work/processed_wav/Bengali/11804.wav,Bengali
/content/work/processed_wav/Bengali/11627.wav,Bengali
/content/work/processed_wav/Bengali/12040.wav,Bengali
/content/work/processed_wav/Bengali/11368.wav,Bengali
/content/work/processed_wav/Bengali/11779.wav,Bengali
/content/work/processed_wav/Bengali/10436.wav,Bengali
/content/work/processed_wav/Bengali/11474.wav,Bengali
/content/work/processed_wav/Bengali/10701.wav,Bengali
/content/work/processed_wav/Bengali/11701.wav,Bengali
/content/work/processed_wav/Bengali/10602.wav,Bengali
/content/work/processed_wav/Bengali/11440.wav,Bengali
/content/work/processed_wav/Bengali/11028.wav,Bengali
/content/work/processed_wav/Bengali/11071.wav,Bengali
/content/work/processed_wav/Bengali/1132.wav,Bengali
/content/work/processed_wav/Bengali/10901.wav,Bengali
/content/work/processed_wav/Bengali/1053.wav,Bengali
/content/work/processed_wav/Bengali/11463.wav,Bengali
/content/work/processed_wav/Bengali/1070.wav,Bengali
/content/work/processed_wav/Bengali/11188.wav,Bengali
/content/work/processed_wav/Bengali/11140.wav,Bengali
/content/work/processed_wav/Bengali/1192.wav,Bengali
/content/work/processed_wav/Bengali/11288.wav,Bengali
/content/work/processed_wav/Bengali/11704.wav,Bengali
/content/work/processed_wav/Bengali/10351.wav,Bengali
/content/work/processed_wav/Bengali/11542.wav,Bengali
/content/work/processed_wav/Bengali/11519.wav,Bengali
/content/work/processed_wav/Bengali/11428.wav,Bengali
/content/work/processed_wav/Bengali/11473.wav,Bengali
/content/work/processed_wav/Bengali/10556.wav,Bengali
/content/work/processed_wav/Bengali/10301.wav,Bengali
/content/work/processed_wav/Bengali/10304.wav,Bengali
/content/work/processed_wav/Bengali/11083.wav,Bengali
/content/work/processed_wav/Bengali/11930.wav,Bengali
/content/work/processed_wav/Bengali/10348.wav,Bengali
/content/work/processed_wav/Bengali/11341.wav,Bengali
/content/work/processed_wav/Bengali/11452.wav,Bengali
/content/work/processed_wav/Bengali/11014.wav,Bengali
/content/work/processed_wav/Bengali/10630.wav,Bengali
/content/work/processed_wav/Bengali/11714.wav,Bengali
/content/work/processed_wav/Bengali/1024.wav,Bengali
/content/work/processed_wav/Bengali/12166.wav,Bengali
/content/work/processed_wav/Bengali/13906.wav,Bengali
/content/work/processed_wav/Bengali/12888.wav,Bengali
/content/work/processed_wav/Bengali/12907.wav,Bengali
/content/work/processed_wav/Bengali/13843.wav,Bengali
/content/work/processed_wav/Bengali/12089.wav,Bengali
/content/work/processed_wav/Bengali/13675.wav,Bengali
/content/work/processed_wav/Bengali/12971.wav,Bengali
/content/work/processed_wav/Bengali/12710.wav,Bengali
/content/work/processed_wav/Bengali/13126.wav,Bengali
/content/work/processed_wav/Bengali/13132.wav,Bengali
/content/work/processed_wav/Bengali/13802.wav,Bengali
/content/work/processed_wav/Bengali/12349.wav,Bengali
/content/work/processed_wav/Bengali/13934.wav,Bengali
/content/work/processed_wav/Bengali/12656.wav,Bengali
/content/work/processed_wav/Bengali/12393.wav,Bengali
/content/work/processed_wav/Bengali/13945.wav,Bengali
/content/work/processed_wav/Bengali/13783.wav,Bengali
/content/work/processed_wav/Bengali/12551.wav,Bengali
/content/work/processed_wav/Bengali/13726.wav,Bengali
/content/work/processed_wav/Bengali/12482.wav,Bengali
/content/work/processed_wav/Bengali/13178.wav,Bengali
